Year,State,Constituency,Name,Party,Votes,State-code,Constituency-code,Rank
2019,ANDHRA PRADESH,MACHILIPATNAM,BANDREDDI RAMAKRISHNA,JANASENA PARTY,113292,S01,11,3
2019,ANDHRA PRADESH,MACHILIPATNAM,GOLLU KRISHNA,INC,12284,S01,11,4
2019,ANDHRA PRADESH,MACHILIPATNAM,GUDIVAKA RAMANJANEYULU,BJP,6462,S01,11,5
2019,ANDHRA PRADESH,MACHILIPATNAM,VIJAYA LAKSHMI CHALAPAKA,IND,4779,S01,11,6
2019,ANDHRA PRADESH,MACHILIPATNAM,PERAM SIVA NAGESWARA RAO,RPI(A),3622,S01,11,7
2019,ANDHRA PRADESH,MACHILIPATNAM,YARLAGADDA RAMA MOHANA RAO,BAHUJAN MAHA PARTY,1017,S01,11,8
2019,ANDHRA PRADESH,MACHILIPATNAM,GUDIVAKA VENKATA NAGA BASAVA RAO,IND,896,S01,11,9
2019,ANDHRA PRADESH,MACHILIPATNAM,GANDHI DHANEKULA,IND,846,S01,11,10
2019,ANDHRA PRADESH,MACHILIPATNAM,VALLURU VENKATESWARA RAO,PPOI,826,S01,11,11
2019,ANDHRA PRADESH,MACHILIPATNAM,NADAKUDITI NAGA GAYATHRI,IND,773,S01,11,12
2019,ANDHRA PRADESH,MACHILIPATNAM,NOTA,NOTA,14077,S01,11,-1
2019,ANDHRA PRADESH,VIJAYAWADA,KESINENI SRINIVAS (NANI),TDP,575498,S01,12,1
2019,ANDHRA PRADESH,VIJAYAWADA,POTLURI.V.PRASAD ( P V P ),YSRCP,566772,S01,12,2
2019,ANDHRA PRADESH,VIJAYAWADA,MUTTAMSETTY PRASAD BABU,JANASENA PARTY,81650,S01,12,3
2019,ANDHRA PRADESH,VIJAYAWADA,KILARU DILEEP,BJP,18504,S01,12,4
2019,ANDHRA PRADESH,VIJAYAWADA,NARAHARISETTY. NARASIMHARAO.,INC,16261,S01,12,5
2019,ANDHRA PRADESH,VIJAYAWADA,ANDUKURI VIJAYA BHASKAR,INDIA PRAJA BANDHU PARTY,2457,S01,12,6
2019,ANDHRA PRADESH,VIJAYAWADA,BOLISETTY HARI BABU,IND,1739,S01,12,7
2019,ANDHRA PRADESH,VIJAYAWADA,MOHAMMAD ISHAQ,IND,1218,S01,12,8
2019,ANDHRA PRADESH,VIJAYAWADA,ANIL KUMAR MADDINENI,IND,1049,S01,12,9
2019,ANDHRA PRADESH,VIJAYAWADA,NANDINI NALLAGHATLA,IND,953,S01,12,10
2019,ANDHRA PRADESH,VIJAYAWADA,DHANEKULA GANDHI,IND,688,S01,12,11
2019,ANDHRA PRADESH,VIJAYAWADA,SEKHAR,PPOI,685,S01,12,12
2019,ANDHRA PRADESH,VIJAYAWADA,PADALA SIVA PRASAD,NAVARANG CONGRESS PARTY,480,S01,12,13
2019,ANDHRA PRADESH,VIJAYAWADA,DATLA LURDU MARY,MUNDADUGU PRAJA PARTY,434,S01,12,14
2019,ANDHRA PRADESH,VIJAYAWADA,SK. RIYAZ,IUML,412,S01,12,15
2019,ANDHRA PRADESH,VIJAYAWADA,NOTA,NOTA,8911,S01,12,-1
2019,ANDHRA PRADESH,GUNTUR,JAYADEV GALLA,TDP,587918,S01,13,1
