Year,State,Constituency,Name,Party,Votes,State-code,Constituency-code,Rank
2024,ANDHRA PRADESH,RAJAHMUNDRY,DAGGUBATI PURANDHESHWARI,BJP,718641,S01,25,1
2024,ANDHRA PRADESH,RAJAHMUNDRY,DR. GUDURI SRINIVAS,YSRCP,483172,S01,25,2
2024,ANDHRA PRADESH,RAJAHMUNDRY,GIDUGU RUDRARAJU,INC,31441,S01,25,3
2024,ANDHRA PRADESH,RAJAHMUNDRY,GANESWARA RAO PARAMATA,BSP,20277,S01,25,4
2024,ANDHRA PRADESH,RAJAHMUNDRY,BATTULA BALARAMAKRISHNA,NAVARANG CONGRESS PARTY,16930,S01,25,5
2024,ANDHRA PRADESH,RAJAHMUNDRY,SALOPANTULA RAGHAVENDRA RAO,IND,3261,S01,25,6
2024,ANDHRA PRADESH,RAJAHMUNDRY,DR. MEDISI RATNARAO ALIAS VINAY,IND,3109,S01,25,7
2024,ANDHRA PRADESH,RAJAHMUNDRY,MOHANARAO SINGULURI,JBNP,2818,S01,25,8
2024,ANDHRA PRADESH,RAJAHMUNDRY,MEDA SRINIVASA RAO,RPC(S),2422,S01,25,9
2024,ANDHRA PRADESH,RAJAHMUNDRY,BOMMANABOINA VSR MURTHY,IND,2173,S01,25,10
2024,ANDHRA PRADESH,RAJAHMUNDRY,BHANU CHANDAR KURUVELLA,IND,1955,S01,25,11
2024,ANDHRA PRADESH,RAJAHMUNDRY,JALLI BALA NAVEENA,IND,1250,S01,25,12
2024,ANDHRA PRADESH,RAJAHMUNDRY,NOTA,NOTA,24302,S01,25,-1
2024,ANDHRA PRADESH,NARSAPURAM,BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),BJP,699382,S01,26,1
2024,ANDHRA PRADESH,NARSAPURAM,UMABALA GUDURI,YSRCP,426037,S01,26,2
2024,ANDHRA PRADESH,NARSAPURAM,K.B.R.NAIDU,INC,34298,S01,26,3
2024,ANDHRA PRADESH,NARSAPURAM,PRASANNA KUMAR UNDURTHI,IND,6350,S01,26,4
2024,ANDHRA PRADESH,NARSAPURAM,MEDAPATI VENKATA VARAHALA REDDY,IND,5966,S01,26,5
2024,ANDHRA PRADESH,NARSAPURAM,SIRRA RAJU,BSP,5945,S01,26,6
2024,ANDHRA PRADESH,NARSAPURAM,BALAGAM NAYAKAR,IND,5232,S01,26,7
2024,ANDHRA PRADESH,NARSAPURAM,NALLI RAJESH,IND,4684,S01,26,8
2024,ANDHRA PRADESH,NARSAPURAM,KETHA SREENU,IND,3140,S01,26,9
2024,ANDHRA PRADESH,NARSAPURAM,OLETY NAGENDRA KRISHNA,JRB,3112,S01,26,10
2024,ANDHRA PRADESH,NARSAPURAM,ADDEPALLI VEERA VENKAT SUBBA RAO,IND,2781,S01,26,11
2024,ANDHRA PRADESH,NARSAPURAM,ANAND CHANDULAL JASTI,IND,2726,S01,26,12
2024,ANDHRA PRADESH,NARSAPURAM,GANJI PURNIMA,RPI(A),1645,S01,26,13
2024,ANDHRA PRADESH,NARSAPURAM,GEDALA LAXMANA RAO,IND,1525,S01,26,14
2024,ANDHRA PRADESH,NARSAPURAM,ADDANKI DORABABU,IND,1388,S01,26,15
2024,ANDHRA PRADESH,NARSAPURAM,GOTTUMUKKALA SHIVAJI,IND,1378,S01,26,16
2024,ANDHRA PRADESH,NARSAPURAM,ADINARAYANA DUPPANAPUDI,IND,1002,S01,26,17
2024,ANDHRA PRADESH,NARSAPURAM,MANNE LEELA RAMA NARENDRA,PPOI,922,S01,26,18
2024,ANDHRA PRADESH,NARSAPURAM,RAMA DURGA PRASAD THOLETI,IND,919,S01,26,19
2024,ANDHRA PRADESH,NARSAPURAM,RUKHMINI,IND,683,S01,26,20
2024,ANDHRA PRADESH,NARSAPURAM,ADABALA SIVA,IND,682,S01,26,21
2024,ANDHRA PRADESH,NARSAPURAM,NOTA,NOTA,7554,S01,26,-1
2024,ANDHRA PRADESH,ELURU,PUTTA MAHESH KUMAR,TDP,737644,S01,27,1
2024,ANDHRA PRADESH,ELURU,KARUMURI SUNIL KUMAR,YSRCP,559318,S01,27,2
2024,ANDHRA PRADESH,ELURU,KAVURI LAVANYA,INC,19820,S01,27,3
2024,ANDHRA PRADESH,ELURU,AJAY BABU BODA,NAVARANG CONGRESS PARTY,12197,S01,27,4
2024,ANDHRA PRADESH,ELURU,NITTA AKHILA DHARANI PAL,BSP,6664,S01,27,5
2024,ANDHRA PRADESH,ELURU,BOKINALA KOTESWARA RAO,IND,2253,S01,27,6
2024,ANDHRA PRADESH,ELURU,RUDRAPAKA RATNA RAO (R.R.R),ANDHRA RASTRA PRAJA SAMITHI,1523,S01,27,7
2024,ANDHRA PRADESH,ELURU,KANDAVALLI JEEVA DEVA DAYAKAR,IND,1172,S01,27,8
2024,ANDHRA PRADESH,ELURU,AGASTEEN KOMMINA,IND,1001,S01,27,9
2024,ANDHRA PRADESH,ELURU,DR. MENDEM SANTHOSH KUMAR (PEDDA BABULU),NCP,777,S01,27,10
2024,ANDHRA PRADESH,ELURU,RAJESWARA RAO KONDRU,BHARATHEEYA JAWAN KISAN PARTY,729,S01,27,11
2024,ANDHRA PRADESH,ELURU,GODUGUPATI VEERA RAGHAVULU,PPOI,710,S01,27,12
2024,ANDHRA PRADESH,ELURU,BYRABOYINA MALYADRI,BCYP,705,S01,27,13
2024,ANDHRA PRADESH,ELURU,NOTA,NOTA,22371,S01,27,-1
2024,ANDHRA PRADESH,MACHILIPATNAM,BALASHOWRY VALLABHANENI,JANASENA PARTY,712149,S01,28,1
2024,ANDHRA PRADESH,MACHILIPATNAM,SIMHADRI CHANDRA SEKHAR RAO,YSRCP,495211,S01,28,2
2024,ANDHRA PRADESH,MACHILIPATNAM,GOLLU KRISHNA,INC,31130,S01,28,3
2024,ANDHRA PRADESH,MACHILIPATNAM,BAAL SHOURI CHODABATHINA,JATIYA JANA SENA PARTY,10518,S01,28,4
2024,ANDHRA PRADESH,MACHILIPATNAM,DEVAMANI DEVARAPALLI,BSP,9911,S01,28,5
2024,ANDHRA PRADESH,MACHILIPATNAM,KOMMARAJU SIVA NARASIMHA RAO,AIFB,5245,S01,28,6
2024,ANDHRA PRADESH,MACHILIPATNAM,VALLABHANENI NAGA PAVAN KUMAR,IND,5206,S01,28,7
2024,ANDHRA PRADESH,MACHILIPATNAM,MARADANI K R SWAMY,JAI MAHA BHARATH PARTY,2206,S01,28,8
2024,ANDHRA PRADESH,MACHILIPATNAM,GANDHI  DHANEKULA,IND,1989,S01,28,9
2024,ANDHRA PRADESH,MACHILIPATNAM,PAMULA BALA SOWRYAMMA,IND,1576,S01,28,10
2024,ANDHRA PRADESH,MACHILIPATNAM,ANUSHA YERUVA,IND,1233,S01,28,11
2024,ANDHRA PRADESH,MACHILIPATNAM,GUDAVALLI VENKATA KEDARESWARA RAO,IND,1102,S01,28,12
2024,ANDHRA PRADESH,MACHILIPATNAM,JOGI VEERANJANEYULU,IND,1020,S01,28,13
2024,ANDHRA PRADESH,MACHILIPATNAM,DAMODARA RAO GUDAVALLI,IND,928,S01,28,14
2024,ANDHRA PRADESH,MACHILIPATNAM,APPARAO ENNETI,IND,625,S01,28,15
2024,ANDHRA PRADESH,MACHILIPATNAM,NOTA,NOTA,12008,S01,28,-1
2024,ANDHRA PRADESH,VIJAYAWADA,KESINENI SIVANATH (CHINNI),TDP,784722,S01,29,1
2024,ANDHRA PRADESH,VIJAYAWADA,KESINENI SRINIVAS  (NANI),YSRCP,505637,S01,29,2
2024,ANDHRA PRADESH,VIJAYAWADA,BHARGAV VALLURU,INC,23498,S01,29,3
2024,ANDHRA PRADESH,VIJAYAWADA,KRISHNA KISHORE YANAMANDRA,NAVATARAM PARTY,7710,S01,29,4
2024,ANDHRA PRADESH,VIJAYAWADA,VENKATA ASHOK PAPPURI,IND,6672,S01,29,5
2024,ANDHRA PRADESH,VIJAYAWADA,DEVARAPALLI MALLIKARJUNA RAO (MAHESH),IND,3199,S01,29,6
2024,ANDHRA PRADESH,VIJAYAWADA,MEKA VENKATESWARA RAO,BSP,2184,S01,29,7
2024,ANDHRA PRADESH,VIJAYAWADA,ANIL KUMAR MADDINENI,IND,1240,S01,29,8
2024,ANDHRA PRADESH,VIJAYAWADA,BARRE SREENIVASARAO (JAI BHEEM SRINIVAS),TELUGU RAJADHIKARA SAMITI PARTY,609,S01,29,9
2024,ANDHRA PRADESH,VIJAYAWADA,SYED KHAMURUNNISA,NAVARANG CONGRESS PARTY,600,S01,29,10
2024,ANDHRA PRADESH,VIJAYAWADA,CHAGANTIPATI GANGADHAR GANDHI,PPOI,486,S01,29,11
2024,ANDHRA PRADESH,VIJAYAWADA,DATLA LURTHU MERI,JRB,409,S01,29,12
2024,ANDHRA PRADESH,VIJAYAWADA,PERAM SIVA NAGESWARA RAO,RPI (ATHAWALE),365,S01,29,13
2024,ANDHRA PRADESH,VIJAYAWADA,DEVARASETTY RAVEENDRA BABU,ANDHRA RASTRA PRAJA SAMITHI,328,S01,29,14
2024,ANDHRA PRADESH,VIJAYAWADA,GUJJULA LALITHA,SUCI(C),323,S01,29,15
2024,ANDHRA PRADESH,VIJAYAWADA,N DASARADHA RAMI REDDY,ALL INDIA JAIHIND PARTY,268,S01,29,16
2024,ANDHRA PRADESH,VIJAYAWADA,CHINTHALACHERUVU HEMALATHA,JAI MAHA BHARATH PARTY,239,S01,29,17
2024,ANDHRA PRADESH,VIJAYAWADA,NOTA,NOTA,9038,S01,29,-1
2024,ANDHRA PRADESH,GUNTUR,DR CHANDRA SEKHAR PEMMASANI,TDP,851020,S01,30,1
2024,ANDHRA PRADESH,GUNTUR,KILARI VENKATA ROSAIAH,YSRCP,513563,S01,30,2
2024,ANDHRA PRADESH,GUNTUR,JANGALA AJAY KUMAR,CPI,8317,S01,30,3
2024,ANDHRA PRADESH,GUNTUR,SIVAREDDY. ENDREDDY,NAVATARAM PARTY,5628,S01,30,4
2024,ANDHRA PRADESH,GUNTUR,TENALI PRAKASH,BSP,4172,S01,30,5
2024,ANDHRA PRADESH,GUNTUR,SIKHAKOLLI HEMA GOWRI SHANKAR,JATIYA JANA SENA PARTY,1959,S01,30,6
2024,ANDHRA PRADESH,GUNTUR,SAMUDRALA CHINNA KOTAIAH,JRB,1748,S01,30,7
2024,ANDHRA PRADESH,GUNTUR,UMAR BHASHA SHAIK,JANA SAHAYAKA SAKTHI,1273,S01,30,8
2024,ANDHRA PRADESH,GUNTUR,SYED. SAIDA,NAVARANG CONGRESS PARTY,1216,S01,30,9
2024,ANDHRA PRADESH,GUNTUR,AMBATI CHALAMAIAH,PPOI,1029,S01,30,10
2024,ANDHRA PRADESH,GUNTUR,PILLI BABU RAO,IND,688,S01,30,11
2024,ANDHRA PRADESH,GUNTUR,HARI VENKATA SATISH  KURNALA,JBNP,540,S01,30,12
2024,ANDHRA PRADESH,GUNTUR,VISHNU REDDY LANKIREDDY,BENGALURU NAVA NIRMANA PARTY,461,S01,30,13
2024,ANDHRA PRADESH,GUNTUR,EMANI. CHANDRASEKHAR RAO,NAVODAYAM PARTY,409,S01,30,14
2024,ANDHRA PRADESH,GUNTUR,SHAIK. KHAJAVALI,IND,387,S01,30,15
2024,ANDHRA PRADESH,GUNTUR,CHALLAPALLI RATAN RAJU,VCK,374,S01,30,16
2024,ANDHRA PRADESH,GUNTUR,KANNEBOYINA VAMSI KRISHNA YADAV,IND,368,S01,30,17
2024,ANDHRA PRADESH,GUNTUR,MOHAMMAD KHAJA MOINUDDIN CHISTI PASHA,ANDHRA PRADESH RASHTRA SAMITHI,353,S01,30,18
2024,ANDHRA PRADESH,GUNTUR,GAYATRI AUDHIPUDI,IND,350,S01,30,19
