Year,State,Constituency,Name,Party,Votes,State-code,Constituency-code
1999,MAHARASHTRA,PARBHANI,WARPUDKAR SURESH AMBADASRAO,NCP,179443,S13,17
1999,MAHARASHTRA,PARBHANI,GOVIND DHONDOPANT CHATORIKAR GURUJI,IND,7140,S13,17
1999,MAHARASHTRA,PARBHANI,NOORJAHAN BEGUM RAHEMANKHAN,IND,3780,S13,17
1999,MAHARASHTRA,PARBHANI,SURVASE RAMESHWAR NAGORAO,IND,2779,S13,17
1999,MAHARASHTRA,PARBHANI,MUMTAZ BEGUM MD YAHAKHAN,IND,2405,S13,17
1999,MAHARASHTRA,PARBHANI,VIJAY DASHRATH WAKODE,IND,1712,S13,17
1999,MAHARASHTRA,PUNE,PRADEEP RAWAT,BJP,304955,S13,34
1999,MAHARASHTRA,PUNE,JOSHI MOHAN,INC,213670,S13,34
1999,MAHARASHTRA,PUNE,TUPE VITHAL BABURAO,NCP,198738,S13,34
1999,MAHARASHTRA,PUNE,L D BHOSALE,IND,4399,S13,34
1999,MAHARASHTRA,PUNE,PROFESSOR RAM KODRE,BSP,3836,S13,34
1999,MAHARASHTRA,PUNE,COLONEL JAYANTRAO CHITALE,IND,1925,S13,34
1999,MAHARASHTRA,PUNE,TAMBOLI SHABBIR SAJJANBHAI,IND,1423,S13,34
1999,MAHARASHTRA,PUNE,ISHWAR SAMBHAYYA KAMTAM,IND,1277,S13,34
1999,MAHARASHTRA,PUNE,YASHWANTRAO CHAVAN,IND,825,S13,34
1999,MAHARASHTRA,PUNE,ADVOCATE SUBHASH NARHAR GODSE,IND,450,S13,34
1999,MAHARASHTRA,PUNE,ASHOK GANPAT PALKHE ALIAS SUTAR,IND,349,S13,34
1999,MAHARASHTRA,PUNE,P K CHAVAN,IND,320,S13,34
1999,MAHARASHTRA,PUNE,SHANKARRAO RAMCHANDRA JAGDALE,IND,268,S13,34
1999,MAHARASHTRA,PUNE,SUBODH LAXMAN YADAV,IND,219,S13,34
1999,MAHARASHTRA,RAJAPUR,SURESH PRABHAKAR PRABHU,SHS,221523,,
1999,MAHARASHTRA,RAJAPUR,PROF MADHU DANDAVATE,JD(S),108673,,
1999,MAHARASHTRA,RAJAPUR,MAJOR SUDHIR SAWANT,INC,103556,,
1999,MAHARASHTRA,RAMTEK,SUBODH MOHITE,SHS,242454,S13,9
1999,MAHARASHTRA,RAMTEK,PUROHIT BANWARI LAL,INC,230765,S13,9
1999,MAHARASHTRA,RAMTEK,HAJARE PANDURANG JAIRAMJI,NCP,149741,S13,9
1999,MAHARASHTRA,RAMTEK,INGLE ASHOK ALIAS ASHOK SARASWATI,BSP,16706,S13,9
1999,MAHARASHTRA,RAMTEK,RAJSHREE DEVI,GGP,16156,S13,9
1999,MAHARASHTRA,RATNAGIRI,ANANT GANGARAM GEETE,SHS,293834,,
1999,MAHARASHTRA,RATNAGIRI,ZIMAN SUJIT BHAGOJI,NCP,178491,,
1999,MAHARASHTRA,RATNAGIRI,RAJARAM SHINDE,INC,62028,,
1999,MAHARASHTRA,SANGLI,PRAKASH (BAPU) VASANTRAO PATIL,INC,381162,S13,44
1999,MAHARASHTRA,SANGLI,PATIL MADAN VISHWANATH,NCP,220602,S13,44
1999,MAHARASHTRA,SANGLI,DANGE RAJENDRA ALIAS CHIMAN RAMCHANDRA,BJP,97273,S13,44
1999,MAHARASHTRA,SANGLI,GANPATI TUKARAM KAMBLE (G T),IND,7320,S13,44
1999,MAHARASHTRA,SATARA,LAXMANRAO PANDURANG JADHAV PATIL,NCP,313325,S13,45
1999,MAHARASHTRA,SATARA,HINDURAO N NAIK NIMBALKAR,SHS,188554,S13,45
1999,MAHARASHTRA,SATARA,KHARDEKAR NIMBALKAR YASHWANTRAO APPASAHEB,INC,159953,S13,45
1999,MAHARASHTRA,SATARA,ADV JADHAV LAXMAN WAMAN,MPKP,3571,S13,45
1999,MAHARASHTRA,SATARA,JADHAV LAXMAN SOPAN,IND,2535,S13,45
1999,MAHARASHTRA,SATARA,SANGITA JAGDISH GAIKWAD,IND,1323,S13,45
1999,MAHARASHTRA,SHOLAPUR,SHINDE SUSHILKUMAR SAMBHAJIRAO,INC,286578,,
1999,MAHARASHTRA,SHOLAPUR,VALYAL LINGRAJ BALIRAYYA,BJP,209583,,
1999,MAHARASHTRA,SHOLAPUR,ABDULPURKAR ARALAPPA GANGAPPA,NCP,102803,,
1999,MAHARASHTRA,SHOLAPUR,SARVADE RAHUL VITTHALRAO,BSP,3290,,
1999,MAHARASHTRA,SHOLAPUR,ADAKI BABU VASANTRAO,IND,1192,,
1999,MAHARASHTRA,THANE,PRAKASH PARANJPE,SHS,391446,S13,25
1999,MAHARASHTRA,THANE,NAKUL PATIL,INC,291763,S13,25
1999,MAHARASHTRA,THANE,PRABHAKAR HEGADE,NCP,177256,S13,25
1999,MAHARASHTRA,THANE,WADHAVINDE MAHENDRU KERU,IND,37145,S13,25
1999,MAHARASHTRA,THANE,DR MADHUKAR VITTHALRAO DEKATE,BSP,8073,S13,25
1999,MAHARASHTRA,WARDHA,PRABHA RAO,INC,249564,S13,8
1999,MAHARASHTRA,WARDHA,SURESH GANPATRAO WAGHMARE,BJP,242502,S13,8
1999,MAHARASHTRA,WARDHA,DATTA MEGHE,NCP,152856,S13,8
1999,MAHARASHTRA,WARDHA,CHIDAM NARAYANRAO RAMJI,GGP,6472,S13,8
1999,MAHARASHTRA,WASHIM,BHAWANA PUNDLIKRAO GAWALI,SHS,244820,,
1999,MAHARASHTRA,WASHIM,DESHMUKH ANANTRAO VITTHALRAO,INC,205225,,
1999,MAHARASHTRA,WASHIM,PROF JAVED KHAN,NCP,154030,,
1999,MAHARASHTRA,WASHIM,NAIK RAJU RAMU,IND,24859,,
1999,MAHARASHTRA,WASHIM,KALAPAD RAMKRISHNA SAKHARAMJI,IND,6810,,
1999,MAHARASHTRA,WASHIM,DEBAJE LEKHAK PRALHADRAO ASHRUJI,IND,3671,,
1999,MAHARASHTRA,YAVATMAL,UTTAMRAO DEORAO PATIL,INC,258535,,
1999,MAHARASHTRA,YAVATMAL,HARIBHAU RATHOD,BJP,243309,,
1999,MAHARASHTRA,YAVATMAL,RAJABHAU THAKRE,NCP,77968,,
1999,MAHARASHTRA,YAVATMAL,KISHOREBHAU TIWARI,IND,19076,,
1999,MAHARASHTRA,YAVATMAL,MARKAM SHEETAL KAVADOOJI,GGP,14181,,
1999,MAHARASHTRA,YAVATMAL,LAXMANBHAU KINKAR,IND,2319,,
2004,MAHARASHTRA,AHMEDNAGAR,GADAKH TUKARAM GANGADHAR,NCP,362938,,
2004,MAHARASHTRA,AHMEDNAGAR,PROF. N. S. PHARANDE,BJP,287861,,
2004,MAHARASHTRA,AHMEDNAGAR,SAYYAD MUSHTAK AHMED,IND,11115,,
2004,MAHARASHTRA,AHMEDNAGAR,DR. BHISE INDRAKUMAR DEVRAO,RSPS,8786,,
2004,MAHARASHTRA,AHMEDNAGAR,WAGHMARE RAJU RATNAKAR,BSP,8722,,
2004,MAHARASHTRA,AHMEDNAGAR,RAMNATH GAHININATH GOLHAR,IND,5042,,
2004,MAHARASHTRA,AHMEDNAGAR,AWARE RADHAKISAN BABU,IND,3258,,
2004,MAHARASHTRA,AKOLA,DHOTRE SANJAY SHAMRAO,BJP,313323,S13,6
2004,MAHARASHTRA,AKOLA,LAXMANRAO TAYADE,INC,206952,S13,6
2004,MAHARASHTRA,AKOLA,AMBEDKAR PRAKASH YASHWANT,BBM,187202,S13,6
2004,MAHARASHTRA,AKOLA,TAYADE VISHRAM NATTHUJI,BSP,9951,S13,6
2004,MAHARASHTRA,AKOLA,RAJA MOTIRAMJI SHAMBHARKAR,IND,8628,S13,6
2004,MAHARASHTRA,AKOLA,JOSHI SHALIGRAM MOHANLAL,ABHM,5756,S13,6
2004,MAHARASHTRA,AKOLA,SHAIKH MUKIM AHEMAD ABDUL RASHID,SP,3560,S13,6
2004,MAHARASHTRA,AMRAVATI,ANANT GUDHE,SHS,203216,S13,7
2004,MAHARASHTRA,AMRAVATI,OMPRAKASH ALIAS BACCHU BABARAOJI KADU,IND,188982,S13,7
2004,MAHARASHTRA,AMRAVATI,DADASAHEB R. S. GAWAI,RPI,150902,S13,7
2004,MAHARASHTRA,AMRAVATI,HAJI RAFIQUE SETH,IND,78606,S13,7
2004,MAHARASHTRA,AMRAVATI,SEMALKAR RONYA CHHOTELAL,BSP,31573,S13,7
2004,MAHARASHTRA,AMRAVATI,JAWARKAR NAMDEORAO SHALIGRAMJI,BBM,8327,S13,7
2004,MAHARASHTRA,AMRAVATI,DNYANESHWAR RAURALE,ARP,4132,S13,7
2004,MAHARASHTRA,AMRAVATI,BANDU SAMPATRAO SANE (BANDYA),IND,4029,S13,7
2004,MAHARASHTRA,AMRAVATI,KALMEGH NAMDEO MOTIRAM,IND,3337,S13,7
2004,MAHARASHTRA,AMRAVATI,GAJANAN NAGORAO LONDE,IND,3317,S13,7
2004,MAHARASHTRA,AURANGABAD,CHANDRAKANT KHAIRE,SHS,477900,S13,19
2004,MAHARASHTRA,AURANGABAD,RAMKRUSHNA BABA PATIL,INC,355977,S13,19
2004,MAHARASHTRA,AURANGABAD,MADHAVRAO HARIBHAU BAORDE,BSP,22527,S13,19
2004,MAHARASHTRA,AURANGABAD,SHAIKH SALIM KHAIRODIN,IND,18996,S13,19
2004,MAHARASHTRA,AURANGABAD,NASER NAHADI MAHMAD YAHYA NAHADI,SP,8955,S13,19
2004,MAHARASHTRA,AURANGABAD,ABDUL MAJED QURESHI ALIAS KAISER QURESHI,NLP,7429,S13,19
2004,MAHARASHTRA,AURANGABAD,LAHU HANUMANTRAO SHEWALE,LRP,5924,S13,19
2004,MAHARASHTRA,AURANGABAD,PRAKASH BHAURAO NIKALJE,IND,4557,S13,19
2004,MAHARASHTRA,AURANGABAD,MORE GANGADHAR LAKHAJI,IND,4552,S13,19
2004,MAHARASHTRA,AURANGABAD,BIRAJDAR SHARNAPPA KALAPPA ALIAS AAPPA BIRAJDAR,HJP,3589,S13,19
2004,MAHARASHTRA,AURANGABAD,ENGI. DUSHYANT ATHAWALE,PRP,2165,S13,19
2004,MAHARASHTRA,BARAMATI,PAWAR SHARADCHANDRA GOVINDRAO,NCP,634555,S13,35
2004,MAHARASHTRA,BARAMATI,PRITHVIRAJ SAHEBRAO JACHAK,BJP,211580,S13,35
2004,MAHARASHTRA,BARAMATI,KOLEKAR BALASAHEB BAPURAO,RSPS,30230,S13,35
2004,MAHARASHTRA,BARAMATI,VISHWAKARMA PRALHAD RAMBICH,BSP,16966,S13,35
2004,MAHARASHTRA,BEED,JAISINGRAO GAIKWAD PATIL,NCP,425051,S13,39
2004,MAHARASHTRA,BEED,SOLANKE PRAKASH SUNDARRAO,BJP,377639,S13,39
2004,MAHARASHTRA,BEED,MIRZA ABDUL BAIG AMIR BAIG,IND,22816,S13,39
2004,MAHARASHTRA,BEED,SOLANKE PRAKASH BHAGWANRAO,IND,19140,S13,39
2004,MAHARASHTRA,BEED,SYED MOINODDIN SYED BASHIRODDIN (MOIN MASTER),BSP,17408,S13,39
2004,MAHARASHTRA,BEED,DODTALE BALASAHEB PRABHAKAR,RSPS,12244,S13,39
2004,MAHARASHTRA,BEED,SHAIKH AKHIL USMAN,IND,5487,S13,39
2004,MAHARASHTRA,BEED,KIRVALE PRAMOD SOMNATH,IND,4449,S13,39
2004,MAHARASHTRA,BHANDARA,PATLE SHISHUPAL NATTHU,BJP,277388,,
2004,MAHARASHTRA,BHANDARA,PRAFUL PATEL,NCP,274379,,
2004,MAHARASHTRA,BHANDARA,AJABLAL,BSP,90672,,
2004,MAHARASHTRA,BHANDARA,AMKAR GYANIRAM BAJIRAO,IND,14575,,
2004,MAHARASHTRA,BHANDARA,DR. SALAM HARISHCHANDRA BHIVRAM,GGP,12707,,
2004,MAHARASHTRA,BHANDARA,JAYASWAL VIRENDRAKUMAR KASTURCHAND,BBM,10755,,
2004,MAHARASHTRA,BULDHANA,ADSUL ANANDRAO VITHOBA,SHS,369975,S13,5
2004,MAHARASHTRA,BULDHANA,MUKUL BALKRUSHNA WASNIK,INC,310068,S13,5
2004,MAHARASHTRA,BULDHANA,BHIMRAO SENU JADHAO,BBM,21197,S13,5
2004,MAHARASHTRA,BULDHANA,KANKAL SITARAM KERUJI,BSP,18241,S13,5
2004,MAHARASHTRA,BULDHANA,DEVIDAS PIRAJI SARKATE,IND,17455,S13,5
2004,MAHARASHTRA,BULDHANA,SAU. ANITA PARMESHWAR GAWAI,ARP,8989,S13,5
2004,MAHARASHTRA,BULDHANA,KASTURE DIPAK PARASHRAM,IND,6045,S13,5
2004,MAHARASHTRA,BULDHANA,GHULE SUNITA SUDHAKAR,IND,3631,S13,5
2004,MAHARASHTRA,BULDHANA,ANANDRAO CHINDHAJI LAHANE,RLD,3102,S13,5
2004,MAHARASHTRA,BULDHANA,ANIL GULABRAO WANKHEDE,IND,2561,S13,5
2004,MAHARASHTRA,CHANDRAPUR,AHIR HANSRAJ GANGARAM,BJP,366014,S13,13
2004,MAHARASHTRA,CHANDRAPUR,NARESH PUGLIA,INC,306191,S13,13
2004,MAHARASHTRA,CHANDRAPUR,RAJENDRA VAIDYA,BSP,104416,S13,13
2004,MAHARASHTRA,CHANDRAPUR,DIWAKAR GULAB PENDAM,IND,26837,S13,13
